,N,P,K,ph,Fertility_Status
185,88,38,15,6.455116637000001,Moderate
186,65,60,22,6.6069840860000015,Moderate
187,78,37,22,6.330554389,Moderate
188,78,58,15,6.5286312660000005,Moderate
189,92,60,23,5.721667141,Moderate
190,79,59,17,6.644205485,Moderate
191,91,55,15,6.376651091,Moderate
192,76,51,18,6.247040422,Moderate
193,87,48,25,6.656730007999999,Moderate
194,71,60,22,6.2048017,Moderate
195,90,57,24,6.158860284,Moderate
196,67,35,22,6.385684213999999,Moderate
197,60,54,19,6.417820493,Moderate
198,83,58,23,6.381201909,Moderate
199,83,57,19,6.877869005,Moderate
200,40,72,77,7.485996067,Moderate
201,23,72,84,6.920251378,Moderate
202,39,58,85,5.9969320370000005,Moderate
203,22,72,85,6.391173589,Good
204,36,67,77,7.152811172000001,Moderate
205,32,73,81,5.988992796000002,Moderate
206,58,70,84,6.231049027999999,Moderate
207,59,70,84,7.550808267000001,Moderate
208,42,62,75,7.010570541,Moderate
209,28,74,81,8.753795334,Poor
210,58,66,79,8.718192847000001,Poor
211,43,66,79,7.976607593,Moderate
212,58,63,81,6.515499548999999,Moderate
213,23,62,85,8.490127142,Moderate
214,27,62,77,6.576415562,Moderate
215,28,72,84,6.481783042999999,Moderate
216,50,56,76,7.966605025,Poor
217,39,71,84,8.140825437,Poor
218,25,78,76,7.228963452,Moderate
219,31,70,77,6.492546046,Moderate
220,26,80,83,7.528599957000001,Poor
221,25,68,77,7.701446446,Poor
222,31,78,76,8.519975748,Poor
223,60,68,83,6.620900869,Moderate
224,59,62,83,8.104396057999999,Poor
225,22,67,78,6.204090835,Moderate
226,36,65,80,6.051091339,Moderate
227,59,60,84,7.690962337999999,Poor
228,54,77,85,7.8292111439999985,Good
229,43,68,81,6.761599706,Moderate
230,28,76,82,6.654425315,Moderate
231,42,79,85,6.129533877,Good
232,32,60,83,8.829273328,Poor
233,22,78,76,8.621662982,Poor
234,31,79,75,8.204862075,Poor
235,28,58,81,6.18042747,Poor
236,57,58,77,7.978996755,Poor
237,49,55,78,7.863113671,Poor
238,46,76,77,6.967843048,Moderate
239,54,61,77,6.206582192999999,Moderate
240,38,60,76,8.868741443,Poor
241,59,55,79,8.766128654,Poor
242,36,76,75,8.736337905,Poor
243,57,68,81,8.081095263,Poor
244,35,66,81,6.138243973,Moderate
245,35,64,78,7.496645259,Moderate
246,52,60,79,8.380185271,Poor
247,27,76,83,6.289614016,Moderate
248,57,60,84,6.586777189,Moderate
249,52,68,78,6.89655198,Moderate
250,43,79,79,7.8067476560000015,Moderate
251,44,74,85,7.150681303,Good
252,24,55,78,6.64919573,Poor
253,29,77,75,7.778591617999999,Poor
254,20,60,78,6.358740355,Poor
255,56,67,78,8.255450758,Poor
256,37,66,85,6.456148474,Good
257,49,71,76,6.613072145,Moderate
258,59,69,80,8.165359297,Poor
259,20,79,77,7.64867466,Poor
260,24,56,85,6.545888558,Moderate
261,51,72,75,7.1042247970000005,Moderate
262,57,73,85,7.358099622,Good
263,22,64,82,6.4740245000000005,Moderate
264,52,73,79,7.840339388999999,Moderate
265,29,75,75,7.064790365,Moderate
266,44,59,78,7.599033472,Poor
267,41,69,82,6.715587232000001,Moderate
268,52,56,85,6.81712422,Good
269,34,76,80,7.985417393,Poor
270,42,74,83,7.545258424,Moderate
271,34,71,79,7.728998197,Poor
272,27,73,79,7.354973451,Moderate
273,30,70,79,7.313122235,Moderate
274,57,57,75,7.785039076,Poor
275,27,79,82,6.307004922999999,Moderate
276,32,71,85,6.4039823160000005,Good
277,31,76,82,7.599279991,Poor
278,33,75,84,7.217018459,Moderate
279,47,80,77,7.561108006,Moderate
280,54,62,80,7.489545074,Moderate
281,47,79,78,6.609696734,Moderate
282,35,57,83,7.476800943,Poor
283,53,73,77,7.325451279,Moderate
284,45,61,78,6.489389282,Moderate
285,37,78,79,7.786366322,Poor
286,30,75,81,6.4084378860000015,Moderate
287,37,55,82,8.423873703,Poor
288,53,65,76,8.719960893,Poor
289,22,60,85,7.811997977000001,Moderate
290,60,61,78,6.317153205,Moderate
291,42,67,77,7.114405288,Moderate
292,39,76,76,8.135900726000001,Poor
293,35,63,76,7.714153037999999,Poor
294,30,65,82,7.103798069,Moderate
295,57,56,78,8.861479668,Poor
296,48,65,78,7.861128148,Moderate
297,36,56,83,7.4526709,Poor
298,40,58,75,7.168096055,Moderate
299,49,69,82,7.26311855,Moderate
300,13,60,25,5.68597166,Poor
301,25,70,16,5.759237003,Moderate
302,31,55,22,5.873171894,Poor
303,40,64,16,5.926676985,Moderate
304,2,61,20,5.95561668,Moderate
305,26,65,22,5.9499490810000015,Moderate
306,17,57,21,5.789214288999999,Poor
307,26,80,18,5.581021521,Moderate
308,17,59,17,5.689858133,Poor
309,27,59,22,5.794158503999999,Poor
310,28,58,24,5.748190462999999,Poor
311,25,57,19,5.566522896,Poor
312,28,80,17,5.809419584,Moderate
313,25,60,22,5.887263027,Poor
314,12,78,23,5.99812453,Moderate
315,6,77,25,5.792744849,Moderate
316,22,79,17,5.912289889,Moderate
317,27,80,15,5.7883869510000014,Moderate
318,10,55,23,5.728233081,Poor
319,23,65,20,5.833940084,Moderate
320,19,78,16,5.967533236,Moderate
321,19,65,25,5.6250964460000015,Moderate
322,22,70,19,5.515615023,Moderate
323,37,64,22,5.954665349,Moderate
324,11,71,17,5.74644777,Moderate
325,18,79,20,5.877347515,Moderate
326,21,63,17,5.979973965,Moderate
327,24,80,22,5.635993966,Moderate
328,34,60,22,5.635231778,Poor
329,16,75,21,5.679224346,Moderate
330,17,77,23,5.670062975,Moderate
331,37,72,18,5.724242065,Moderate
332,40,73,20,5.811314232000001,Moderate
333,9,77,17,5.783425416,Moderate
334,1,62,23,5.607808432000001,Moderate
335,33,59,22,5.946999529,Poor
336,23,59,19,5.852046999,Poor
337,6,62,22,5.824090984,Moderate
338,25,63,20,5.502999119,Moderate
339,7,79,23,5.821649914,Moderate
340,8,72,17,5.711439256,Moderate
341,27,64,15,5.514927264,Moderate
342,28,66,23,5.99616119,Moderate
343,32,57,18,5.695422862999999,Poor
344,27,56,22,5.833010957999999,Poor
345,17,77,24,5.568456899,Moderate
346,0,65,15,5.645435626,Moderate
347,13,72,21,5.821194486,Moderate
348,34,60,23,5.659254981,Poor
349,9,80,19,5.945465949,Moderate
350,11,72,20,5.9511774520000005,Moderate
351,3,67,24,5.520880013999999,Moderate
352,35,69,23,5.578410206,Moderate
353,3,77,25,5.608165195,Moderate
354,23,62,19,5.609435127999999,Moderate
355,22,71,17,5.509295379,Moderate
356,31,79,25,5.902033406,Moderate
357,34,59,18,5.744117663,Poor
358,12,63,17,5.717143397,Moderate
359,27,56,20,5.542690119,Poor
360,7,63,24,5.858617867,Moderate
361,24,67,22,5.618844277000001,Moderate
362,11,71,24,5.6066203460000015,Moderate
363,37,74,15,5.582178402,Moderate
364,25,76,24,5.56503533,Moderate
365,34,66,17,5.889614577000001,Moderate
366,20,69,15,5.934136378,Moderate
367,37,65,16,5.683548308,Moderate
368,18,74,15,5.70836603,Moderate
369,4,67,25,5.948164454,Moderate
370,37,56,25,5.774755143999999,Poor
371,5,59,15,5.97229163,Poor
372,11,61,21,5.532100554,Moderate
373,22,80,20,5.669560726,Moderate
374,12,61,19,5.655726817000001,Moderate
375,5,74,21,5.591704013999999,Moderate
376,27,69,22,5.932323085,Moderate
377,31,75,18,5.824208308999999,Moderate
378,36,68,20,5.86442953,Moderate
379,5,65,16,5.866744372,Moderate
380,32,79,15,5.706198621,Moderate
381,11,78,22,5.940546818,Moderate
382,0,55,22,5.916779289,Poor
383,14,59,15,5.779090476,Poor
384,29,68,23,5.82738029,Moderate
385,32,68,19,5.514234138,Moderate
386,17,64,17,5.662699104,Moderate
387,13,69,19,5.86390397,Moderate
388,14,67,22,5.624690247999999,Moderate
389,9,69,20,5.591560999,Moderate
390,20,73,22,5.976312537999999,Moderate
391,40,78,20,5.669236258,Moderate
392,27,72,23,5.961934481,Moderate
393,14,67,15,5.690065688,Moderate
394,7,56,18,5.698371311,Poor
395,27,65,18,5.59503163,Moderate
396,30,63,16,5.5259045260000015,Moderate
397,37,70,25,5.819403771,Moderate
398,27,63,19,5.562201934,Moderate
399,22,60,24,5.630664753,Poor
400,3,72,24,6.03160778,Moderate
401,40,59,23,5.269084669,Poor
402,33,73,23,5.985792703,Moderate
403,27,57,24,6.09186275,Poor
404,10,79,18,5.624731337999999,Moderate
405,30,75,25,6.446091759,Moderate
406,40,70,20,5.623490042999999,Moderate
407,38,55,19,5.864623352000001,Poor
408,35,58,20,5.761702519,Poor
409,38,61,21,4.696518678,Poor
410,33,58,24,5.269504214,Poor
411,16,56,17,7.445444882999999,Poor
412,31,72,17,5.833031707999999,Moderate
413,16,80,20,7.3393209289999986,Moderate
414,27,72,17,6.347929353,Moderate
415,40,62,19,4.697750704,Poor
416,18,58,16,4.962661422,Poor
417,3,68,16,4.964887857,Poor
418,26,67,24,5.642813116,Moderate
419,16,70,20,5.6093956,Moderate
420,24,63,19,4.681576043,Poor
421,9,76,25,5.70951224,Moderate
422,16,55,19,6.413543781,Poor
423,28,75,21,6.007508163,Moderate
424,16,71,24,4.946369874,Poor
425,24,70,21,5.517208078,Moderate
426,38,72,21,5.902103172,Moderate
427,9,66,21,5.719889876,Moderate
428,34,56,17,4.548202098,Poor
429,1,76,19,6.6695294160000005,Moderate
430,6,69,19,4.7509292180000005,Poor
431,26,73,21,4.946263888,Poor
432,27,61,18,5.266227032,Poor
433,27,71,23,7.10959773,Moderate
434,36,61,21,5.617008201,Moderate
435,17,73,18,5.632353113,Moderate
436,26,72,22,4.674941549,Poor
437,17,64,16,7.161797643,Moderate
438,14,74,19,6.624966131,Moderate
439,39,60,15,5.004074623999999,Poor
440,6,66,15,6.3458060110000005,Moderate
441,8,59,18,6.216814453,Poor
442,2,67,18,5.921666758,Moderate
443,1,76,17,6.012719118,Moderate
444,16,73,19,4.684079249,Poor
445,23,75,25,7.077170002000001,Moderate
446,32,70,20,6.208843215,Moderate
447,28,59,22,7.05181629,Poor
448,5,62,23,4.722222454,Poor
449,36,67,25,6.418062652000001,Moderate
450,1,66,23,4.803564468,Poor
451,24,73,20,4.608695247,Poor
452,17,67,18,5.611510977000001,Moderate
453,5,55,18,7.322097972000001,Poor
454,5,56,24,5.023115055,Poor
455,37,77,17,5.617122801,Moderate
456,13,73,20,5.391560417999999,Poor
457,6,63,23,5.906596905,Moderate
458,16,77,22,6.574209678,Moderate
459,25,64,20,4.807776748999999,Poor
460,34,75,24,4.760038038999999,Poor
461,20,77,23,5.180271502,Poor
462,35,80,25,4.895927306,Poor
463,14,75,24,6.436160044,Moderate
464,36,80,21,7.066087261,Moderate
465,7,77,18,6.655918077999999,Moderate
466,29,78,25,5.982854522999999,Moderate
467,30,60,21,5.457871272999999,Poor
468,20,74,16,4.759490199,Poor
469,19,57,23,7.342409555,Poor
470,3,60,19,4.820788186000001,Poor
471,5,77,19,6.242052013,Moderate
472,5,68,20,5.001038726,Poor
473,37,73,21,5.560224582999999,Moderate
474,9,59,24,4.747352458,Poor
475,20,72,15,7.313517308,Moderate
476,31,56,23,5.661826398,Poor
477,0,70,21,4.672437054,Poor
478,21,74,15,6.471862118,Moderate
479,13,67,18,5.384762927000001,Poor
480,27,74,20,5.8598134160000015,Moderate
481,29,72,24,6.962386495,Moderate
482,5,68,20,6.12166671,Moderate
483,39,57,19,6.421748487,Poor
484,22,62,16,4.828936119,Poor
485,18,55,23,6.98571967,Poor
486,39,77,21,4.603563116,Poor
487,13,75,20,6.979540061,Moderate
488,27,71,24,7.064973419,Moderate
489,26,64,22,5.16516459,Poor
490,23,55,16,5.111488821,Poor
491,4,69,19,5.374358869,Poor
492,20,67,19,5.671419084,Moderate
493,7,74,17,5.667419697000001,Moderate
494,17,64,18,6.07938452,Moderate
495,35,71,17,6.931924962999999,Moderate
496,11,72,22,6.842744374,Moderate
497,20,60,22,6.876572502999999,Poor
498,10,71,18,6.151029296,Moderate
499,33,61,24,4.567446499,Poor
500,3,49,18,3.692863601,Poor
501,22,59,23,4.371745575,Poor
502,36,58,25,8.399135957999999,Poor
503,4,43,18,8.840656256,Poor
504,29,54,16,8.153022903,Poor
505,32,43,22,5.270749441,Poor
506,14,55,15,8.050304395,Poor
507,5,35,20,9.679240873,Poor
508,25,57,24,6.974978386,Poor
509,11,53,24,7.39389918,Poor
510,40,49,17,6.68727523,Moderate
511,38,56,25,7.88118645,Poor
512,27,43,23,5.875333778,Poor
513,24,38,22,8.202706015,Poor
514,23,45,21,8.985348193,Poor
515,29,57,20,5.87707519,Poor
516,31,35,23,7.707595055,Poor
517,0,55,25,4.524171562,Poor
518,7,45,22,9.926212291,Poor
519,17,58,25,6.455592696,Poor
520,11,44,17,8.016210782,Poor
521,22,49,22,3.71105919,Poor
522,9,51,19,5.49091063,Poor
523,28,48,15,9.254089438,Poor
524,26,50,19,6.005242945,Poor
525,36,56,20,7.437078236,Poor
526,8,60,18,3.808429173,Poor
527,24,37,21,5.818219385,Poor
528,22,43,24,4.52363558,Poor
529,36,43,24,3.510404312,Poor
530,22,44,24,6.030447288,Poor
531,17,43,22,5.498340807999999,Poor
532,8,45,15,4.61136408,Poor
533,7,56,23,5.545219232000001,Poor
534,36,57,16,8.292875733999999,Poor
535,11,45,19,3.828031463,Poor
536,6,36,22,8.869532817,Poor
537,17,57,20,3.793575185,Poor
538,4,47,20,4.193189124,Poor
539,9,49,16,7.661537347999999,Poor
540,25,51,24,9.392694614,Poor
541,36,44,21,4.516154055,Poor
542,21,38,20,5.794289715,Poor
543,37,57,20,7.354286985,Poor
544,32,48,18,5.993513566,Poor
545,29,44,20,8.620107545,Poor
546,25,51,18,9.45949344,Poor
547,10,44,24,8.0344125,Poor
548,23,35,18,5.414492777,Poor
549,9,60,23,6.2760043360000015,Poor
550,3,58,21,9.160691747,Poor
551,22,42,22,7.887658711,Poor
552,12,39,21,8.183844843,Poor
553,39,36,22,9.072011412,Poor
554,32,41,16,7.702287236,Poor
555,30,41,15,5.88509677,Poor
556,19,36,22,6.16496284,Poor
557,4,46,15,3.504752314,Poor
558,21,39,20,7.388007482999999,Poor
559,35,57,25,8.340398059,Poor
560,22,55,24,8.66077954,Poor
561,35,51,17,3.558822825,Poor
562,17,56,17,5.9565851,Poor
563,28,57,17,9.416003106,Poor
564,22,36,16,8.18422855,Poor
565,11,41,19,5.131779302,Poor
566,38,38,18,6.294130312999999,Poor
567,23,37,24,7.991902443,Poor
568,25,35,20,8.923095695,Poor
569,40,45,20,6.878498176,Moderate
570,23,58,19,5.243634848999999,Poor
571,2,56,23,7.550090941,Poor
572,3,56,17,8.709291687999999,Poor
573,26,51,25,7.792508067999999,Poor
574,39,42,20,8.055908857999999,Poor
575,27,59,20,4.397698806,Poor
576,24,45,19,5.9523849570000005,Poor
577,7,40,17,8.532078732999999,Poor
578,15,45,23,7.224193642,Poor
579,26,52,23,4.931890506,Poor
580,20,45,16,4.626212446,Poor
581,34,54,24,5.026003659,Poor
582,19,51,25,3.5253661,Poor
583,29,41,21,8.86979671,Poor
584,20,50,22,9.406887533,Poor
585,11,40,23,5.80428611,Poor
586,15,54,15,8.35495812,Poor
587,35,55,22,8.634929739,Poor
588,9,59,25,7.699200949,Poor
589,40,45,18,5.261285926,Poor
590,35,38,19,9.112771682,Poor
591,14,58,17,4.605700542,Poor
592,40,55,18,7.115994051,Moderate
593,18,36,23,7.214078621,Poor
594,35,52,15,9.93509073,Poor
595,4,59,22,8.914074888,Poor
596,22,51,16,8.639586199,Poor
597,33,47,17,8.621514073,Poor
598,2,51,17,5.838508699,Poor
599,16,51,21,3.532008668,Poor
600,19,55,20,7.18530147,Poor
601,8,54,20,7.034214276,Poor
602,36,55,20,6.635968697999999,Poor
603,10,56,16,6.828187498999998,Poor
604,22,56,17,6.89077995,Poor
605,9,57,24,7.165121108999998,Poor
606,34,59,23,6.935804256,Poor
607,31,51,25,7.196774236,Poor
608,0,49,18,6.990095452,Poor
609,21,39,20,7.064782137999999,Poor
610,28,35,22,7.156563094,Poor
611,17,52,17,6.364967184,Poor
612,24,42,23,6.428054409,Poor
613,28,46,16,6.664187809,Poor
614,21,38,21,6.637677489,Poor
615,34,60,25,6.79385576,Poor
616,19,53,22,6.852884642999999,Poor
617,31,58,15,7.121571293,Poor
618,19,35,24,6.883308033,Poor
619,24,53,17,6.421271178,Poor
620,13,47,20,6.54450214,Poor
621,31,53,16,6.452006451,Poor
622,28,45,23,6.489259136,Poor
623,31,37,21,6.713410626,Poor
624,33,60,15,6.510840928,Poor
625,34,45,21,6.2873801170000005,Poor
626,13,57,25,6.86308576,Poor
627,33,57,17,6.78415271,Poor
628,32,57,22,6.769415887999999,Poor
629,23,59,25,6.320768488,Poor
630,35,41,18,6.705008503999999,Poor
631,6,48,24,6.790736339,Poor
632,29,36,25,7.130278657000001,Poor
633,4,36,22,7.012740397000001,Poor
634,10,59,22,7.1556850160000005,Poor
635,14,48,21,6.991242362,Poor
636,8,50,21,6.218923893,Poor
637,20,40,15,7.199495367999999,Poor
638,36,43,22,6.3898821660000005,Poor
639,14,57,15,6.623438282,Poor
640,11,60,23,7.033012777000001,Poor
641,10,59,15,6.32400451,Poor
642,7,60,25,6.397636709,Poor
643,2,47,15,6.401455706,Poor
644,20,45,22,6.904587016,Poor
645,2,39,15,6.478557136,Poor
646,27,40,24,7.063022095,Poor
647,35,48,15,6.981758362000001,Poor
648,4,59,25,6.227134139,Poor
649,1,48,24,6.232836962,Poor
650,36,43,21,7.140437859,Poor
651,11,46,24,6.459252023,Poor
652,34,47,19,6.568795403999999,Poor
653,21,44,18,7.12851089,Poor
654,17,58,20,6.42937879,Poor
655,25,40,21,6.248900919,Poor
656,2,38,18,6.619891497999999,Poor
657,9,48,20,6.377568542000001,Poor
658,37,49,25,6.415459592,Poor
659,36,38,15,6.3206620120000006,Poor
660,40,58,15,6.978400282000001,Moderate
661,30,44,16,6.442335592999999,Poor
662,1,59,23,7.184398832,Poor
663,9,48,22,6.402926221,Poor
664,14,41,17,7.085982325,Poor
665,35,52,19,6.698574085,Poor
666,31,48,17,6.594739424,Poor
667,4,41,20,6.647965508,Poor
668,30,37,25,7.120032489,Poor
669,9,35,20,6.91380932,Poor
670,20,41,20,7.073048264,Poor
671,37,50,23,6.5304707,Poor
672,34,35,21,6.684381357,Poor
673,14,37,15,6.581351374,Poor
674,23,39,22,6.86483915,Poor
675,5,45,21,6.487124217000001,Poor
676,22,37,20,6.605733067999999,Poor
677,40,51,17,6.860602782000001,Moderate
678,27,56,20,6.41874299,Poor
679,31,40,22,6.365513634,Poor
680,38,36,21,6.5563729660000005,Poor
681,6,37,17,6.760694227999999,Poor
682,6,47,18,6.715276662999999,Poor
683,24,44,17,6.666380512000001,Poor
684,25,59,19,6.626629798,Poor
685,32,56,21,6.702772465,Poor
686,8,45,18,7.011030515,Poor
687,19,39,17,6.890156495,Poor
688,39,37,15,6.821747052,Poor
689,33,37,19,7.183189922,Poor
690,26,54,17,6.27258822,Poor
691,21,51,15,6.679127482,Poor
692,22,54,20,6.689825155,Poor
693,29,45,16,6.583381939,Poor
694,4,40,21,6.725551062,Poor
695,10,37,22,7.069747813999999,Poor
696,4,44,19,6.921993877999999,Poor
697,20,45,17,6.770955317,Poor
698,23,45,23,6.983130466,Poor
699,25,48,21,6.267684328,Poor
700,56,79,15,7.454532137,Moderate
701,25,62,21,7.040056094,Moderate
702,42,61,22,7.418650668,Moderate
703,42,73,25,6.501869314,Moderate
704,44,58,18,6.814410927999999,Moderate
705,50,55,16,7.581442888,Poor
706,35,72,21,7.741418772,Poor
707,30,64,20,6.573531614,Moderate
708,27,64,21,7.543804222999999,Poor
709,50,74,17,6.5408208,Moderate
710,39,73,24,7.22405917,Moderate
711,57,67,25,7.551364319,Moderate
712,52,63,19,6.928898659,Moderate
713,55,66,22,7.747775262999999,Moderate
714,51,56,18,6.706505915,Moderate
715,36,66,15,6.668238556,Moderate
716,59,55,19,7.332375138,Moderate
717,50,58,23,7.596802025,Poor
718,30,65,25,7.70650895,Poor
719,20,62,18,7.366542647,Moderate
720,58,71,15,6.919243702,Moderate
721,25,71,24,7.187721817999999,Moderate
722,52,71,16,7.0758864720000005,Moderate
723,40,63,18,6.74441168,Moderate
724,20,60,25,6.726469087999999,Poor
725,48,61,21,6.628264883,Moderate
726,49,68,22,7.127064207,Moderate
727,48,62,15,7.538631462000001,Moderate
728,32,66,17,7.162357641,Moderate
729,21,63,22,6.859409487000001,Moderate
730,20,72,19,7.397190844,Moderate
